,keyword,date,trend_index
0,zoom,2019-01-06,5
1,zoom,2019-01-13,5
2,zoom,2019-01-20,4
3,zoom,2019-01-27,4
4,zoom,2019-02-03,4
5,zoom,2019-02-10,4
6,zoom,2019-02-17,4
7,zoom,2019-02-24,4
8,zoom,2019-03-03,3
9,zoom,2019-03-10,4
10,zoom,2019-03-17,4
11,zoom,2019-03-24,4
12,zoom,2019-03-31,4
13,zoom,2019-04-07,4
14,zoom,2019-04-14,4
15,zoom,2019-04-21,4
16,zoom,2019-04-28,4
17,zoom,2019-05-05,4
18,zoom,2019-05-12,4
19,zoom,2019-05-19,4
20,zoom,2019-05-26,4
21,zoom,2019-06-02,4
22,zoom,2019-06-09,4
23,zoom,2019-06-16,4
24,zoom,2019-06-23,4
25,zoom,2019-06-30,5
26,zoom,2019-07-07,4
27,zoom,2019-07-14,4
28,zoom,2019-07-21,4
29,zoom,2019-07-28,4
30,zoom,2019-08-04,4
31,zoom,2019-08-11,4
32,zoom,2019-08-18,4
33,zoom,2019-08-25,4
34,zoom,2019-09-01,4
35,zoom,2019-09-08,5
36,zoom,2019-09-15,4
37,zoom,2019-09-22,5
38,zoom,2019-09-29,5
39,zoom,2019-10-06,5
40,zoom,2019-10-13,5
41,zoom,2019-10-20,5
42,zoom,2019-10-27,5
43,zoom,2019-11-03,5
44,zoom,2019-11-10,5
45,zoom,2019-11-17,5
46,zoom,2019-11-24,6
47,zoom,2019-12-01,5
48,zoom,2019-12-08,6
49,zoom,2019-12-15,5
50,zoom,2019-12-22,5
51,zoom,2019-12-29,5
52,zoom,2020-01-05,6
53,zoom,2020-01-12,6
54,zoom,2020-01-19,5
55,zoom,2020-01-26,5
56,zoom,2020-02-02,5
57,zoom,2020-02-09,5
58,zoom,2020-02-16,5
59,zoom,2020-02-23,5
60,zoom,2020-03-01,5
61,zoom,2020-03-08,9
62,zoom,2020-03-15,53
63,zoom,2020-03-22,76
64,zoom,2020-03-29,91
65,zoom,2020-04-05,100
66,zoom,2020-04-12,75
67,zoom,2020-04-19,73
68,zoom,2020-04-26,62
69,zoom,2020-05-03,55
70,zoom,2020-05-10,49
71,zoom,2020-05-17,45
72,zoom,2020-05-24,34
